bleu,google_bleu,meteor,rougeL,cider,tgt_language,src_language
0.0,6.188359518934612e-06,7.618232011238515e-05,4.669604036832969e-05,3.513544e-29,Burmese,Darija
0.0,1.4203133211186388e-05,2.490693596631879e-05,4.71289655658169e-05,3e-06,Malay,Darija
0.0,0.00019003162321114462,0.00044703071981605,0.0010938640871905058,3e-06,Korean,Darija
0.0,2.238663965345482e-05,6.217661044453167e-05,9.239190525740233e-05,2.1e-05,Setswana,Darija
0.0,1.456293006152838e-05,7.763647362383432e-05,5.929460349349852e-05,1.9e-05,IsiZulu,Darija
0.0,0.00010968732659724104,0.0005151190624038185,0.00047501939551278206,0.000126,Vietnamese,Darija
0.0,1.856550529116901e-05,0.0004973805082184114,6.886886448490687e-05,0.000106,Hindi,Darija
0.0,1.0332428671800736e-05,0.0004680219937626765,4.921055336720478e-05,1.210135e-19,Thai,Darija
0.0,3.86902075084796e-05,0.0001662805832630523,0.0001714561892143284,2.7e-05,Swahili,Darija
0.0,6.526392732209054e-05,0.0001847850751177531,0.0002633053896386253,1.7e-05,Kinyarwanda,Darija
0.0,0.006532890766445383,0.015306938586699712,0.022742533237119097,0.008104,Urdu,Darija
0.0,7.048408469367617e-06,1.8474180485353672e-05,4.232266802099205e-05,6e-06,Uzbek,Darija
0.0,5.8799317927912035e-05,0.00014472684697671063,0.0002055208258160075,3.6e-05,Hausa,Darija
0.0,0.0001036030850696443,0.0001891206724118347,0.0005556378895928597,4.668651e-10,Kazakh,Darija
0.0,9.449562957713205e-06,3.054863698390816e-05,4.570228805563914e-05,3.547481e-07,Turkish,Darija
0.03676617270107872,0.061134389816009625,0.1291068636865408,0.1545664391941405,0.147262,Darija,Darija
0.0,4.913377160657606e-05,0.00010747646669969632,0.0002088473060874023,4.8e-05,Tagalog,Darija
0.0,5.1374058471582244e-05,9.65319140087925e-05,0.00024912038201767165,5.412077e-07,Kyrgyz,Darija
0.0,0.0,0.0,0.0,0.0,IsiNdebele,Darija
0.0,5.832944470368642e-05,0.00011542512504050898,0.00024082674050046062,4.3e-05,Igbo,Darija
0.0,2.1227816931306783e-05,4.610419548178884e-05,0.00010120433154539014,5.7e-05,Emakhuwa,Darija
0.0,1.5533256702600266e-05,2.9048150213794386e-05,7.303534910896875e-05,5.363826e-07,IsiXhosa,Darija
0.0,4.37024735600035e-05,0.00011586313952896238,0.00016041714359674207,3.5e-05,Tamil,Darija
0.0,1.7277125086385627e-05,4.155319573810363e-05,6.555084560590833e-05,1.8e-05,Yoruba,Darija
0.0,1.6989466530750934e-05,3.9867203956743946e-05,6.54780536728397e-05,4.942132e-08,Indonesian,Darija
0.4728075923419612,0.37280519026724096,0.39070959346368606,0.4760051710757475,0.093378,Burmese,Burmese
0.0,4.963620295153812e-05,0.0007446308524743503,0.0008327841310770448,8.7e-05,Malay,Burmese
0.004200742139530091,0.020732806521558136,0.059704595750708675,0.0772757085465941,0.004888,Korean,Burmese
0.0,0.0006747835069581843,0.003945590148778861,0.006821735881053902,0.000631,Setswana,Burmese
0.0,0.0003679548035171927,0.002914102172946467,0.004192740895208753,0.000197,IsiZulu,Burmese
0.0,0.002107183848847818,0.04093345247663688,0.018482176172743957,0.004332,Vietnamese,Burmese
0.0,0.0005615475211297625,0.005927693204211009,0.004772683797444257,0.000338,Hindi,Burmese
0.0,0.0074059940184062695,0.03262867246920942,0.03086076340719844,0.000601,Thai,Burmese
0.0,0.0007271921073051768,0.006123460548629652,0.008218241626149168,0.000833,Swahili,Burmese
0.0,0.001136506055668858,0.00600380390634319,0.009355945638843604,0.001229,Kinyarwanda,Burmese
0.0,0.001627918691070946,0.013402165864243885,0.01047302426112406,0.00057,Urdu,Burmese
0.0,0.00037015945330296125,0.005674423191543865,0.0038608883558125355,0.000214,Uzbek,Burmese
0.0,0.0004821207556583227,0.0038080625437529997,0.0035967686506738795,9.2e-05,Hausa,Burmese
0.0,0.002912504149941146,0.01883423278635709,0.015143160130940459,2.8e-05,Kazakh,Burmese
0.0,0.0008105493859659863,0.006053837203848828,0.007676865029643012,0.000469,Turkish,Burmese
0.0,0.00012988760809622325,0.0010206016066920346,0.000924167425105214,2e-05,Darija,Burmese
0.0,0.0015428202294719652,0.01046182505186098,0.019276591921372835,0.002232,Tagalog,Burmese
0.0,0.0002039256398701721,0.010103426535290193,0.0013952794050598486,3.5e-05,Kyrgyz,Burmese
0.0,8.41192249815405e-05,0.0007361072186295562,0.0007785867836424267,0.000233,IsiNdebele,Burmese
0.0,0.001483952200706979,0.018522472326382263,0.014495232140236847,0.000945,Igbo,Burmese
0.0,0.00014423959508011854,0.0016441423798118967,0.0020219059468570863,0.00025,Emakhuwa,Burmese
0.0,0.0007369705902673822,0.0031561047810667576,0.005227820022600046,0.000172,IsiXhosa,Burmese
0.0,0.00035170023218176344,0.0032707752524415165,0.004243434797797379,0.001122,Tamil,Burmese
0.0,0.000805346432448787,0.012731024868879677,0.006735651600712258,0.000592,Yoruba,Burmese
0.0,0.0003374722491828151,0.002612133981738977,0.00433860478360142,0.000322,Indonesian,Burmese
0.0,7.958629276436798e-06,0.0015229783872006196,5.4438483120808044e-05,5.802179e-27,Burmese,Igbo
0.0,0.0019207922990662507,0.0073114945748246505,0.010236742252129748,0.001042,Malay,Igbo
0.0,0.0004316148494274066,0.002692892355450417,0.002466727734865121,3.928383e-07,Korean,Igbo
0.0,0.01356763172833772,0.03305514122624166,0.053405046575564,0.0068,Setswana,Igbo
0.0,0.010162328713878857,0.027578727350281294,0.03878602940645094,0.009662,IsiZulu,Igbo
