bleu,google_bleu,meteor,rougeL,cider,tgt_language,percentage
0.014109434396745639,0.044796203831580436,0.0998505206779204,0.14437632402418782,0.08824,Indonesian,80%
0.44352340106695937,0.37069730029335823,0.4240536776107875,0.4654669097058058,0.067721,Burmese,60%
0.009794393425591684,0.04225656877897991,0.089958892295987,0.1339315738604116,0.099845,Malay,60%
0.0522452647185506,0.08528940910108515,0.2025181681201369,0.16529915858094993,0.069171,Korean,60%
0.014563939743079464,0.04561205079430364,0.10861887576636724,0.13053846821939505,0.062974,Setswana,60%
0.0055155144416763795,0.02305479638755586,0.055769342985866124,0.07290446666929609,0.031549,IsiZulu,60%
0.02618615243236541,0.057633270321361056,0.20142728027360715,0.17567949677021144,0.161922,Vietnamese,60%
0.021032026861308003,0.048535761564823636,0.11638446582582654,0.15188038272476148,0.073725,Hindi,60%
0.06766149174797256,0.10294387661423587,0.23622774589661077,0.20501828683737272,0.085233,Thai,60%
0.004203234942799541,0.0248301379078372,0.058109981992329085,0.08505718398256418,0.037037,Swahili,60%
0.02218891922286884,0.03387288681770859,0.0755341718258458,0.09430640670734507,0.047465,Kinyarwanda,60%
0.004551427509124314,0.025026088252832437,0.061459480689093085,0.09676707987043334,0.079699,Urdu,60%
0.0,0.030904181740795914,0.07765626279188341,0.09376839090868787,0.025608,Uzbek,60%
0.0,0.027929629848279118,0.06311738687863451,0.09303795096067938,0.027597,Hausa,60%
0.018054489694628105,0.07918634631619778,0.18651992073295628,0.17291284227043158,0.050249,Kazakh,60%
0.03226096050522817,0.057784300469804976,0.13849738591004612,0.1489446544000892,0.052448,Turkish,60%
0.007660049621142631,0.030598207461960677,0.06762963999991607,0.09486815466649923,0.040118,Darija,60%
0.02272683910239463,0.05464194946927792,0.1270848839920871,0.15317193900420084,0.044826,Tagalog,60%
0.12219036319923769,0.14752382918443327,0.2996979590220711,0.2672015444819613,0.071129,Kyrgyz,60%
0.0018592902300324714,0.016758488992295706,0.0434553234973651,0.060257684757236,0.026349,IsiNdebele,60%
0.012694168166465097,0.03981723237597911,0.2098541389720747,0.12496036773945773,0.054369,Igbo,60%
0.0,0.015451047806155862,0.03584481210036342,0.05495590117618733,0.021856,Emakhuwa,60%
0.0,0.01768181682533051,0.04007225480304946,0.05690164227370387,0.036522,IsiXhosa,60%
0.012520596921258925,0.03162284961154273,0.06764292013831583,0.09916722808263781,0.094544,Tamil,60%
0.004346813670105458,0.02369519581111406,0.11574701798939609,0.08154051231492002,0.042214,Yoruba,60%
0.011700141764465488,0.0418622561243949,0.0925410437648902,0.13929799059731818,0.082396,Indonesian,60%
0.44419868534052936,0.3614690223987642,0.4208711201483,0.4657873735659801,0.064503,Burmese,100
0.009756566827028787,0.04095650221469249,0.08811664161712802,0.1299179654365999,0.094482,Malay,100
0.04641850961071289,0.08122933334546231,0.1860876357171026,0.16221641280612326,0.06686,Korean,100
0.015437568028683697,0.045481771758662345,0.10810520214802759,0.13018484181949852,0.066463,Setswana,100
0.00608984413241173,0.023527939651782202,0.057080718765854285,0.0733085686113207,0.03072,IsiZulu,100
0.02390657064732118,0.0570459405648551,0.2076690438338048,0.17782455809646758,0.15333,Vietnamese,100
0.019040688210307487,0.046020201505559875,0.10849314841571438,0.14671378827169934,0.067724,Hindi,100
0.07314537622603716,0.1068185761378752,0.25575043386594215,0.20968502600150232,0.090002,Thai,100
0.006171426864793152,0.026124506623939975,0.06208840496852159,0.08717269122538511,0.037365,Swahili,100
0.024087072248970144,0.0365952380952381,0.08304298350009759,0.10081603199930778,0.049349,Kinyarwanda,100
0.005232280326063486,0.02414824542204713,0.059798927814051626,0.09245895792207467,0.07281,Urdu,100
0.0021721944847023895,0.032095753602195624,0.0846942325939755,0.09434642122818215,0.029174,Uzbek,100
0.003927901823474097,0.03146680733461005,0.07301766061034004,0.1007775384999332,0.034604,Hausa,100
0.02407713237449674,0.08506106219823914,0.20571853860969833,0.1797660639222179,0.072263,Kazakh,100
0.03688300491664166,0.05845533996497252,0.13734925848282742,0.14904472723079257,0.056455,Turkish,100
0.007504435930740229,0.03032047052878339,0.06696089894886498,0.09564045132372972,0.039777,Darija,100
0.02243593464480457,0.05495356815872345,0.12664886673171583,0.1534932736433107,0.049918,Tagalog,100
0.14100925335251027,0.15478026905829598,0.30493310472504215,0.27945106330037656,0.065694,Kyrgyz,100
0.0020370497907382205,0.019115783858276468,0.04835811228275648,0.06492481749872933,0.024796,IsiNdebele,100
0.013439418140094708,0.039944787473921564,0.20795874129009748,0.1243823252440775,0.051604,Igbo,100
0.0,0.013431542461005199,0.03182340420844729,0.0485766843167511,0.017228,Emakhuwa,100
0.0016880615003048757,0.01692167853355552,0.03762679916169402,0.054839622123529205,0.033159,IsiXhosa,100
0.01139555054982736,0.03030883993307306,0.06528655438803835,0.09591535965056419,0.090362,Tamil,100
0.003543795000340547,0.024045765841572586,0.1152833661951075,0.08164358517288739,0.048261,Yoruba,100
0.011572426440955103,0.041738810093939954,0.09246272085450963,0.13837931442188572,0.083667,Indonesian,100
